[0;32m[  6128][I][YASOLR][1][io] Publishing config to MQTT...[0m
PID(-874.11)=1173.08 (pTerm=524.47, iTerm=0.00, dTerm=648.62)
Max output: 2328.539795, assigned: 2031.082886, used: 2030.577759
PID(-769.39)=377.86 (pTerm=461.63, iTerm=0.00, dTerm=-83.78)
Max output: 2312.806885, assigned: 1392.158447, used: 1391.637695
PID(-22.86)=-583.51 (pTerm=13.72, iTerm=0.00, dTerm=-597.23)
Max output: 2312.806885, assigned: 430.789734, used: 430.368469
PID(485.17)=-697.52 (pTerm=-291.10, iTerm=0.00, dTerm=-406.42)
Max output: 2312.806885, assigned: 316.776733, used: 316.281311
PID(-116.82)=551.68 (pTerm=70.09, iTerm=0.00, dTerm=481.59)
Max output: 2295.170410, assigned: 1593.682007, used: 1593.447998
PID(-737.19)=938.61 (pTerm=442.32, iTerm=0.00, dTerm=496.30)
Max output: 2295.170410, assigned: 1980.614136, used: 1980.180054
PID(205.66)=-877.68 (pTerm=-123.40, iTerm=0.00, dTerm=-754.28)
Max output: 2295.170410, assigned: 164.321838, used: 164.220993
PID(523.87)=-568.89 (pTerm=-314.32, iTerm=0.00, dTerm=-254.57)
Max output: 2295.170410, assigned: 473.106262, used: 473.046112
PID(-576.43)=1226.11 (pTerm=345.86, iTerm=0.00, dTerm=880.25)
Max output: 2295.170410, assigned: 2268.105225, used: 2267.706787
PID(-750.36)=589.35 (pTerm=450.21, iTerm=0.00, dTerm=139.14)
Max output: 2295.170410, assigned: 1588.754639, used: 1588.403687
PID(130.87)=-783.51 (pTerm=-78.52, iTerm=0.00, dTerm=-704.99)
Max output: 2295.170410, assigned: 215.891113, used: 215.785263
[0;36m[ 57044][D][YASOLR][1][io] MQTT in 123070 us[0m
PID(667.60)=-829.94 (pTerm=-400.56, iTerm=0.00, dTerm=-429.38)
Max output: 2295.170410, assigned: 169.463867, used: 169.265320
PID(-147.65)=740.79 (pTerm=88.59, iTerm=0.00, dTerm=652.20)
Max output: 2301.041748, assigned: 1813.189575, used: 1812.737671
PID(-761.68)=948.23 (pTerm=457.01, iTerm=0.00, dTerm=491.22)
Max output: 2301.041748, assigned: 2020.625610, used: 2020.084229
PID(375.49)=-1135.03 (pTerm=-225.29, iTerm=0.00, dTerm=-909.73)
Max output: 2301.041748, assigned: 0.000000, used: 0.000000
PID(727.84)=-718.59 (pTerm=-436.71, iTerm=0.00, dTerm=-281.88)
Max output: 2301.041748, assigned: 0.000000, used: 0.000000
PID(-319.45)=1029.50 (pTerm=191.67, iTerm=0.00, dTerm=837.83)
Max output: 2304.959961, assigned: 1029.503052, used: 1029.492554
PID(-1137.09)=1336.37 (pTerm=682.26, iTerm=0.00, dTerm=654.11)
Max output: 2304.959961, assigned: 2304.959961, used: 2304.959961
PID(-622.81)=-37.73 (pTerm=373.69, iTerm=0.00, dTerm=-411.42)
Max output: 2304.959961, assigned: 1063.565552, used: 1063.264771
PID(457.08)=-1138.16 (pTerm=-274.25, iTerm=0.00, dTerm=-863.91)
Max output: 2304.959961, assigned: 0.000000, used: 0.000000
PID(783.29)=-730.94 (pTerm=-469.97, iTerm=0.00, dTerm=-260.97)
PID(-1048.45)=2094.46 (pTerm=629.07, iTerm=0.00, dTerm=1465.39)
PID(-1178.96)=811.79 (pTerm=707.38, iTerm=0.00, dTerm=104.41)
PID(-1187.95)=719.96 (pTerm=712.77, iTerm=0.00, dTerm=7.19)
PID(-1185.25)=708.99 (pTerm=711.15, iTerm=0.00, dTerm=-2.16)
PID(-1189.04)=716.46 (pTerm=713.42, iTerm=0.00, dTerm=3.03)
PID(-1186.28)=709.56 (pTerm=711.77, iTerm=0.00, dTerm=-2.21)
PID(-1183.82)=708.33 (pTerm=710.29, iTerm=0.00, dTerm=-1.97)
PID(-1180.57)=705.74 (pTerm=708.34, iTerm=0.00, dTerm=-2.60)
PID(-1188.99)=720.13 (pTerm=713.39, iTerm=0.00, dTerm=6.73)
PID(-1183.66)=705.93 (pTerm=710.19, iTerm=0.00, dTerm=-4.27)
PID(-1189.51)=718.38 (pTerm=713.70, iTerm=0.00, dTerm=4.68)
[0;36m[ 65088][D][YASOLR][1][io] MQTT in 75735 us[0m
PID(-1187.19)=710.46 (pTerm=712.31, iTerm=0.00, dTerm=-1.85)
PID(-1184.79)=708.96 (pTerm=710.88, iTerm=0.00, dTerm=-1.92)
PID(-1191.65)=720.47 (pTerm=714.99, iTerm=0.00, dTerm=5.48)
PID(-1189.86)=712.48 (pTerm=713.91, iTerm=0.00, dTerm=-1.43)
PID(-1187.37)=710.43 (pTerm=712.42, iTerm=0.00, dTerm=-1.99)
Max output: 2400.000000, assigned: 710.428345, used: 710.329712
[0;36m[ 67618][D][YASOLR][1][io] MQTT Config in 256531 us[0m
PID(-591.78)=-121.40 (pTerm=355.07, iTerm=0.00, dTerm=-476.47)
Max output: 2396.001709, assigned: 77.910828, used: 77.818863
PID(-584.68)=345.12 (pTerm=350.81, iTerm=0.00, dTerm=-5.69)
